driverStandingsId,raceId,driverId,points,position,positionText,wins
68160,969,830,10,5,5,0
68159,969,8,12,4,4,0
68158,969,822,15,3,3,0
68157,969,1,18,2,2,0
68156,969,20,25,1,1,1
64387,842,4,20,5,5,0
64386,842,808,15,8,8,0
64385,842,1,22,3,3,0
64709,841,813,0,20,20,0
64708,841,30,0,19,19,0
64707,841,5,0,18,18,0
64706,841,3,0,17,17,0
64705,841,22,0,16,16,0
64384,842,20,50,1,1,2
64704,841,10,0,15,15,0
64703,841,816,0,14,14,0
64702,841,15,0,13,13,0
64701,841,2,0,12,12,0
64700,841,153,0,11,11,0
64699,841,814,1,10,10,0
64698,841,16,2,9,9,0
64697,841,67,4,8,8,0
64696,841,13,6,7,7,0
64695,841,18,8,6,6,0
64694,841,17,10,5,5,0
64693,841,4,12,4,4,0
64692,841,808,15,3,3,0
64691,841,1,18,2,2,0
64690,841,20,25,1,1,1
64388,842,17,22,4,4,0
64389,842,18,26,2,2,0
64390,842,13,16,6,6,0
64391,842,67,4,10,10,0
64392,842,16,2,11,11,0
64393,842,814,2,13,13,0
64394,842,153,0,14,14,0
64395,842,2,15,7,7,0
64396,842,15,0,16,16,0
64397,842,816,0,17,17,0
64398,842,10,0,19,19,0
64399,842,22,0,21,21,0
64400,842,3,0,15,15,0
64401,842,5,0,18,18,0
64402,842,30,2,12,12,0
64403,842,813,0,23,23,0
64404,842,155,6,9,9,0
64405,842,24,0,22,22,0
64406,842,815,0,20,20,0
64407,842,39,0,24,24,0
64408,843,20,68,1,1,2
64409,843,1,47,2,2,1
64410,843,808,17,7,7,0
64411,843,4,26,5,5,0
64412,843,17,37,4,4,0
64413,843,18,38,3,3,0
64414,843,13,24,6,6,0
64415,843,67,4,12,12,0
64416,843,16,2,13,13,0
64417,843,814,2,14,14,0
64418,843,153,0,15,15,0
64419,843,2,15,8,8,0
64420,843,15,0,16,16,0
64421,843,816,0,18,18,0
64422,843,10,0,20,20,0
64423,843,22,0,17,17,0
64424,843,3,10,9,9,0
64425,843,5,0,19,19,0
64426,843,30,6,11,11,0
64427,843,813,0,22,22,0
64428,843,155,7,10,10,0
64429,843,24,0,23,23,0
64430,843,815,0,21,21,0
64431,843,39,0,24,24,0
64432,844,20,93,1,1,3
64433,844,1,59,2,2,1
64434,844,808,21,8,8,0
64435,844,4,41,5,5,0
64436,844,17,55,3,3,0
64437,844,18,46,4,4,0
64438,844,13,24,6,6,0
64439,844,67,6,12,12,0
64440,844,16,2,13,13,0
64441,844,814,2,14,14,0
64442,844,153,0,15,15,0
64443,844,2,21,7,7,0
64444,844,15,0,17,17,0
64445,844,816,0,19,19,0
64446,844,10,0,21,21,0
64447,844,22,0,16,16,0
64448,844,3,20,9,9,0
64449,844,5,0,20,20,0
64450,844,30,6,11,11,0
64451,844,813,0,22,22,0
64452,844,155,8,10,10,0
64453,844,24,0,24,24,0
64454,844,815,0,18,18,0
64455,844,39,0,23,23,0
64456,845,20,118,1,1,4
64457,845,1,77,2,2,1
64458,845,808,21,9,9,0
64459,845,4,51,5,5,0
64460,845,17,67,3,3,0
64461,845,18,61,4,4,0
64462,845,13,24,8,8,0
64463,845,67,6,12,12,0
64464,845,16,2,13,13,0
64465,845,814,2,15,15,0
64466,845,153,0,16,16,0
64467,845,2,25,7,7,0
64468,845,15,0,18,18,0
64469,845,816,0,19,19,0
64470,845,10,0,22,22,0
64471,845,22,0,17,17,0
64472,845,3,26,6,6,0
64473,845,5,0,20,20,0
64474,845,30,14,10,10,0
64475,845,813,0,21,21,0
64476,845,155,9,11,11,0
64477,845,24,0,24,24,0
64478,845,815,2,14,14,0
64479,845,39,0,23,23,0
64480,846,20,143,1,1,5
64481,846,1,85,2,2,1
64482,846,808,21,9,9,0
64483,846,4,69,5,5,0
64484,846,17,79,3,3,0
64485,846,18,76,4,4,0
64486,846,13,24,8,8,0
64487,846,67,7,13,13,0
64488,846,16,8,12,12,0
64489,846,814,2,16,16,0
64490,846,153,0,17,17,0
64491,846,2,29,6,6,0
64492,846,15,0,18,18,0
64493,846,816,0,20,20,0
64494,846,10,0,22,22,0
64495,846,22,2,14,14,0
64496,846,3,26,7,7,0
64497,846,5,0,19,19,0
64498,846,30,14,11,11,0
64499,846,813,0,21,21,0
64500,846,155,19,10,10,0
64501,846,24,0,23,23,0
64502,846,815,2,15,15,0
64503,846,39,0,24,24,0
64504,847,20,161,1,1,5
64505,847,1,85,4,4,1
64506,847,808,31,7,7,0
64507,847,4,69,5,5,0
64508,847,17,94,3,3,0
64509,847,18,101,2,2,1
64510,847,13,32,6,6,0
64511,847,67,8,13,13,0
64512,847,16,8,12,12,0
64513,847,814,2,17,17,0
64514,847,153,4,14,14,0
64515,847,2,29,8,8,0
64516,847,15,0,19,19,0
64517,847,816,0,21,21,0
64518,847,10,0,25,25,0
64519,847,22,4,15,15,0
64520,847,3,26,10,10,0
64521,847,5,0,22,22,0
64522,847,30,26,9,9,0
64523,847,813,0,24,24,0
64524,847,155,25,11,11,0
64525,847,24,0,20,20,0
64526,847,815,2,16,16,0
64527,847,39,0,23,23,0
64528,847,37,0,18,18,0
64529,848,20,186,1,1,6
64530,848,1,97,4,4,1
64531,848,808,31,8,8,0
64532,848,4,87,5,5,0
64533,848,17,109,3,3,0
64534,848,18,109,2,2,1
64535,848,13,42,6,6,0
64536,848,67,8,14,14,0
64537,848,16,10,12,12,0
64538,848,814,2,17,17,0
64539,848,153,8,13,13,0
64540,848,2,30,9,9,0
64541,848,15,0,19,19,0
64542,848,816,0,21,21,0
64543,848,10,0,25,25,0
64544,848,22,4,15,15,0
64545,848,3,32,7,7,0
64546,848,5,0,22,22,0
64547,848,30,26,10,10,0
64548,848,813,0,24,24,0
64549,848,155,25,11,11,0
64550,848,24,0,20,20,0
64551,848,815,2,16,16,0
64552,848,39,0,23,23,0
64553,848,37,0,18,18,0
64554,849,20,204,1,1,6
64555,849,1,109,4,4,1
64556,849,808,31,9,9,0
64557,849,4,112,3,3,1
64558,849,17,124,2,2,0
64559,849,18,109,5,5,1
64560,849,13,52,6,6,0
64561,849,67,8,15,15,0
64562,849,16,10,12,12,0
64563,849,814,2,17,17,0
64564,849,153,9,13,13,0
64565,849,2,34,8,8,0
64566,849,15,0,19,19,0
64567,849,816,0,21,21,0
64568,849,10,0,25,25,0
64569,849,22,4,16,16,0
64570,849,3,40,7,7,0
64571,849,5,0,22,22,0
64572,849,30,28,10,10,0
64573,849,813,0,23,23,0
64574,849,155,25,11,11,0
64575,849,24,0,20,20,0
64576,849,815,8,14,14,0
64577,849,39,0,24,24,0
64578,849,37,0,18,18,0
64579,849,817,0,26,26,0
64580,850,20,216,1,1,6
64581,850,1,134,3,3,2
64582,850,808,32,9,9,0
64583,850,4,130,4,4,1
64584,850,17,139,2,2,0
64585,850,18,109,5,5,1
64586,850,13,62,6,6,0
64587,850,67,8,15,15,0
64588,850,16,18,12,12,0
64589,850,814,2,17,17,0
64590,850,153,9,13,13,0
64591,850,2,34,8,8,0
64592,850,15,0,19,19,0
64593,850,816,0,22,22,0
64594,850,10,0,24,24,0
64595,850,22,4,16,16,0
64596,850,3,46,7,7,0
64597,850,5,0,23,23,0
64598,850,30,32,10,10,0
64599,850,813,0,21,21,0
64600,850,155,27,11,11,0
64601,850,24,0,20,20,0
64602,850,815,8,14,14,0
64603,850,39,0,25,25,0
64604,850,37,0,18,18,0
64605,850,817,0,26,26,0
64606,850,812,0,27,27,0
64607,851,20,234,1,1,6
64608,851,1,146,3,3,2
64609,851,808,32,9,9,0
64610,851,4,145,4,4,1
64611,851,17,149,2,2,0
64612,851,18,134,5,5,2
64613,851,13,70,6,6,0
64614,851,67,12,13,13,0
64615,851,16,18,12,12,0
64616,851,814,8,16,16,0
64617,851,153,10,14,14,0
64618,851,2,34,8,8,0
64619,851,15,0,19,19,0
64620,851,816,0,22,22,0
64621,851,10,0,24,24,0
64622,851,22,4,17,17,0
64623,851,3,48,7,7,0
64624,851,5,0,23,23,0
64625,851,30,32,10,10,0
64626,851,813,0,21,21,0
64627,851,155,27,11,11,0
64628,851,24,0,20,20,0
64629,851,815,8,15,15,0
64630,851,39,0,25,25,0
64631,851,37,0,18,18,0
64632,851,817,0,26,26,0
64633,851,812,0,27,27,0
64689,852,811,0,22,22,0
64687,852,817,0,27,27,0
64685,852,39,0,26,26,0
64684,852,815,8,15,15,0
64683,852,24,0,21,21,0
64680,852,30,42,8,8,0
64679,852,5,0,24,24,0
64676,852,10,0,25,25,0
64675,852,816,0,23,23,0
64672,852,153,10,14,14,0
64669,852,67,12,13,13,0
64668,852,13,74,6,6,0
64667,852,18,149,4,4,2
64663,852,1,146,5,5,2
64688,852,812,0,28,28,0
64686,852,37,0,19,19,0
64677,852,22,4,17,17,0
64674,852,15,0,20,20,0
64681,852,813,1,18,18,0
64671,852,814,8,16,16,0
64682,852,155,27,11,11,0
64678,852,3,56,7,7,0
64673,852,2,34,10,10,0
64666,852,17,167,2,2,0
64670,852,16,24,12,12,0
64662,852,20,259,1,1,7
64665,852,4,157,3,3,1
64664,852,808,34,9,9,0
64710,853,20,284,1,1,8
64711,853,1,158,5,5,2
64712,853,808,34,9,9,0
64713,853,4,172,2,2,1
64714,853,17,167,4,4,0
64715,853,18,167,3,3,2
64716,853,13,82,6,6,0
