raceId,year,round,circuitId,name,date,time
841,2011,1,1,Australian Grand Prix,27.03.2011,06:00:00
842,2011,2,2,Malaysian Grand Prix,10.04.2011,08:00:00
843,2011,3,17,Chinese Grand Prix,17.04.2011,07:00:00
844,2011,4,5,Turkish Grand Prix,8.05.2011,12:00:00
845,2011,5,4,Spanish Grand Prix,22.05.2011,12:00:00
846,2011,6,6,Monaco Grand Prix,29.05.2011,12:00:00
847,2011,7,7,Canadian Grand Prix,12.06.2011,17:00:00
848,2011,8,12,European Grand Prix,26.06.2011,12:00:00
849,2011,9,9,British Grand Prix,10.07.2011,12:00:00
850,2011,10,20,German Grand Prix,24.07.2011,12:00:00
851,2011,11,11,Hungarian Grand Prix,31.07.2011,12:00:00
852,2011,12,13,Belgian Grand Prix,28.08.2011,12:00:00
853,2011,13,14,Italian Grand Prix,11.09.2011,12:00:00
854,2011,14,15,Singapore Grand Prix,25.09.2011,12:00:00
855,2011,15,22,Japanese Grand Prix,9.10.2011,06:00:00
856,2011,16,35,Korean Grand Prix,16.10.2011,06:00:00
857,2011,17,68,Indian Grand Prix,30.10.2011,09:30:00
858,2011,18,24,Abu Dhabi Grand Prix,13.11.2011,13:00:00
859,2011,19,18,Brazilian Grand Prix,27.11.2011,16:00:00
860,2012,1,1,Australian Grand Prix,18.03.2012,06:00:00
861,2012,2,2,Malaysian Grand Prix,25.03.2012,08:00:00
862,2012,3,17,Chinese Grand Prix,15.04.2012,07:00:00
863,2012,4,3,Bahrain Grand Prix,22.04.2012,12:00:00
864,2012,5,4,Spanish Grand Prix,13.05.2012,12:00:00
865,2012,6,6,Monaco Grand Prix,27.05.2012,12:00:00
866,2012,7,7,Canadian Grand Prix,10.06.2012,18:00:00
867,2012,8,12,European Grand Prix,24.06.2012,12:00:00
868,2012,9,9,British Grand Prix,8.07.2012,12:00:00
869,2012,10,10,German Grand Prix,22.07.2012,12:00:00
870,2012,11,11,Hungarian Grand Prix,29.07.2012,12:00:00
871,2012,12,13,Belgian Grand Prix,2.09.2012,12:00:00
872,2012,13,14,Italian Grand Prix,9.09.2012,12:00:00
873,2012,14,15,Singapore Grand Prix,23.09.2012,12:00:00
874,2012,15,22,Japanese Grand Prix,7.10.2012,06:00:00
875,2012,16,35,Korean Grand Prix,14.10.2012,06:00:00
876,2012,17,68,Indian Grand Prix,28.10.2012,09:30:00
877,2012,18,24,Abu Dhabi Grand Prix,4.11.2012,13:00:00
878,2012,19,69,United States Grand Prix,18.11.2012,19:00:00
879,2012,20,18,Brazilian Grand Prix,25.11.2012,16:00:00
880,2013,1,1,Australian Grand Prix,17.03.2013,06:00:00
